scenario,Image_Tool,Total_Time,Time_Script,Time_Image,Time_Voice,Time_Video,Problem Size,Predicted Problem Size,setting,Script,Video Path
1,DallE3,63.78,4.52,27.51,3.54,8.67,bummer,bummer,basketball,"Alex, a 15-year-old, was eagerly preparing for his basketball game at the school gym.He had been practicing for weeks to impress his coach and earn a spot on the starting lineup.Just moments before the game, Alex realized he had forgotten to bring his lucky shoes.Standing there, Alex thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_1_DallE3.mp4
1,GPTimage,72.65,4.52,19.53,6.97,4.52,bummer,bummer,basketball,"Alex, a 15-year-old, was eagerly preparing for his basketball game at the school gym.He had been practicing for weeks to impress his coach and earn a spot on the starting lineup.Just moments before the game, Alex realized he had forgotten to bring his lucky shoes.Standing there, Alex thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_1_GPTimage.mp4
2,DallE3,56.84,6.07,20.66,3.45,7.78,bummer,bummer,after school club,"After school, Julia was excited to join her art club with her best friends.She hung up her art project on the board, proud to show what she’d worked on for weeks.But as the teacher began to pass back the work, Julia’s project was missing.Heart sinking, Julia thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_2_DallE3.mp4
2,GPTimage,65.52,6.07,18.89,7.19,4.02,bummer,bummer,after school club,"After school, Julia was excited to join her art club with her best friends.She hung up her art project on the board, proud to show what she’d worked on for weeks.But as the teacher began to pass back the work, Julia’s project was missing.Heart sinking, Julia thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_2_GPTimage.mp4
3,DallE3,56.01,5.34,18.37,3.5,8.06,bummer,bummer,basketball,"In a neighborhood park, Jake was practicing basketball for his school's upcoming match.He was excited until he noticed that his sneakers had a small tear, making dribbling difficult.Frustrated, Jake wondered how he would perform without proper shoes for the game.He sat down and asked himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_3_DallE3.mp4
3,GPTimage,64.64,5.34,20.74,6.91,4.27,bummer,bummer,basketball,"In a neighborhood park, Jake was practicing basketball for his school's upcoming match.He was excited until he noticed that his sneakers had a small tear, making dribbling difficult.Frustrated, Jake wondered how he would perform without proper shoes for the game.He sat down and asked himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_3_GPTimage.mp4
4,DallE3,101.62,4.8,65.32,3.5,8.01,bummer,bummer,lacrosse,"In the middle of a sunny school day, Mia realized she forgot her lacrosse gear at home.Her big game against the rival team was after lunch, and she knew she wouldn't have time to go back and get it.Mia's friends tried to cheer her up, offering to lend her some equipment.As she sat on the bench, Mia thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_4_DallE3.mp4
4,GPTimage,110.65,4.8,19.99,7.07,4.33,bummer,bummer,lacrosse,"In the middle of a sunny school day, Mia realized she forgot her lacrosse gear at home.Her big game against the rival team was after lunch, and she knew she wouldn't have time to go back and get it.Mia's friends tried to cheer her up, offering to lend her some equipment.As she sat on the bench, Mia thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_4_GPTimage.mp4
5,DallE3,62.11,7.49,20.07,3.34,7.88,bummer,bummer,dancing,"Emma was excitedly getting ready for her big dance recital at school.But just as she was about to step on stage, she realized she had forgotten her dance slippers at home.Her friend offered to run back to the dressing room to check for spare shoes, but Emma felt a twist of anxiety in her stomach.Taking a deep breath, she wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_5_DallE3.mp4
5,GPTimage,71.05,7.49,23.32,6.73,4.57,bummer,bummer,dancing,"Emma was excitedly getting ready for her big dance recital at school.But just as she was about to step on stage, she realized she had forgotten her dance slippers at home.Her friend offered to run back to the dressing room to check for spare shoes, but Emma felt a twist of anxiety in her stomach.Taking a deep breath, she wondered, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_5_GPTimage.mp4
6,DallE3,56.93,5.16,19.25,3.27,7.72,bummer,bummer,playing video game,"Jamie was eagerly playing a new video game at home when his screen suddenly froze.He tried restarting the game but realized his progress was completely lost.His character's achievements, which took him a week to earn, vanished instantly.Sitting in disbelief, Jamie wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_6_DallE3.mp4
6,GPTimage,65.65,5.16,21.53,6.8,4.3,bummer,bummer,playing video game,"Jamie was eagerly playing a new video game at home when his screen suddenly froze.He tried restarting the game but realized his progress was completely lost.His character's achievements, which took him a week to earn, vanished instantly.Sitting in disbelief, Jamie wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_6_GPTimage.mp4
7,DallE3,56.81,6.54,19.93,3.28,8.52,bummer,bummer,field trip,"Jasmine was excited about her class field trip to the zoo today.As they arrived, she realized she had left her lunch at home.Her friends offered to share, but she felt embarrassed asking for food.Jasmine wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_7_DallE3.mp4
7,GPTimage,65.18,6.54,18.54,6.98,3.77,bummer,bummer,field trip,"Jasmine was excited about her class field trip to the zoo today.As they arrived, she realized she had left her lunch at home.Her friends offered to share, but she felt embarrassed asking for food.Jasmine wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_7_GPTimage.mp4
8,DallE3,60.21,5.54,21.25,6.49,7.97,bummer,bummer,tryout,"Jamie was really excited for the soccer tryouts at the school field.During tryouts, he stumbled and missed an important goal.Feeling embarrassed and upset, he walked off the field with his head down.Jamie thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_8_DallE3.mp4
8,GPTimage,68.83,5.54,18.95,9.93,4.31,bummer,bummer,tryout,"Jamie was really excited for the soccer tryouts at the school field.During tryouts, he stumbled and missed an important goal.Feeling embarrassed and upset, he walked off the field with his head down.Jamie thought to himself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_8_GPTimage.mp4
9,DallE3,58.65,3.12,18.34,3.65,7.71,bummer,bummer,ski,"Emily was excited to hit the slopes on her ski vacation.While skiing down a gentle hill, she lost one of her skis.She tried to find it but the snow made it difficult to see where it went.As she looked around, she thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_9_DallE3.mp4
9,GPTimage,66.92,3.12,25.82,6.85,4.05,bummer,bummer,ski,"Emily was excited to hit the slopes on her ski vacation.While skiing down a gentle hill, she lost one of her skis.She tried to find it but the snow made it difficult to see where it went.As she looked around, she thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_9_GPTimage.mp4
10,DallE3,59.32,5.62,21.71,3.36,7.71,bummer,bummer,class,"Sophie was in class, staring at the empty space where her homework should have been.She remembered clearly leaving it on the kitchen table that morning.Now, she felt a wave of panic as she realized she might lose points for turning it in late.Sophie asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_10_DallE3.mp4
10,GPTimage,67.33,5.62,20.92,6.53,3.93,bummer,bummer,class,"Sophie was in class, staring at the empty space where her homework should have been.She remembered clearly leaving it on the kitchen table that morning.Now, she felt a wave of panic as she realized she might lose points for turning it in late.Sophie asked herself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_10_GPTimage.mp4
11,DallE3,48.89,4.83,13.53,3.48,8.09,bummer,bummer,birthday party,"Liam was excited for his birthday party at the park, and all his friends were invited.Just as the party was about to start, he realized the cake was left at home.His mom sighed, saying they’d have to drive back to get it, which could take a while.Liam wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_11_DallE3.mp4
11,GPTimage,57.04,4.83,18.95,6.73,3.91,bummer,bummer,birthday party,"Liam was excited for his birthday party at the park, and all his friends were invited.Just as the party was about to start, he realized the cake was left at home.His mom sighed, saying they’d have to drive back to get it, which could take a while.Liam wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_11_GPTimage.mp4
12,DallE3,59.62,5.03,19.05,3.35,7.35,bummer,bummer,swimming,"Emily was excited for her swim lesson at the local pool.But as she entered the water, she realized she'd left her goggles at home.Without them, swimming would be more challenging and less fun.She sighed and thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_12_DallE3.mp4
12,GPTimage,67.46,5.03,24.85,6.6,3.64,bummer,bummer,swimming,"Emily was excited for her swim lesson at the local pool.But as she entered the water, she realized she'd left her goggles at home.Without them, swimming would be more challenging and less fun.She sighed and thought, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_12_GPTimage.mp4
13,DallE3,55.04,4.84,19.35,3.33,8.08,bummer,bummer,vacation,"Ella was excited as her family drove to the beach for a vacation.Upon arrival, they discovered their favorite hotel was fully booked.Instead, they had to find a different place to stay and it wasn't as nice.Ella thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_13_DallE3.mp4
13,GPTimage,63.36,4.84,19.44,6.81,3.85,bummer,bummer,vacation,"Ella was excited as her family drove to the beach for a vacation.Upon arrival, they discovered their favorite hotel was fully booked.Instead, they had to find a different place to stay and it wasn't as nice.Ella thought to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_13_GPTimage.mp4
14,DallE3,63.51,12.13,19.56,3.38,7.91,bummer,bummer,swimming,"Jamie was excited for the big swim meet at his school pool tomorrow.He packed his swim gear, making sure everything was perfect.Later, he realized he forgot his favorite swim trunks at home, and he was already at his friend's house for a sleepover.Jamie thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_14_DallE3.mp4
14,GPTimage,73.05,12.13,20.53,6.87,5.1,bummer,bummer,swimming,"Jamie was excited for the big swim meet at his school pool tomorrow.He packed his swim gear, making sure everything was perfect.Later, he realized he forgot his favorite swim trunks at home, and he was already at his friend's house for a sleepover.Jamie thought to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_14_GPTimage.mp4
15,DallE3,58.24,4.43,22.4,3.31,8.15,bummer,bummer,swimming,"Emma splashes into the pool, excited for her swim practice.As she surfaces, she notices her favorite goggles are missing from her bag.She searches everywhere, asking friends if they've seen them, but no luck.Feeling upset, Emma wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_15_DallE3.mp4
15,GPTimage,66.45,4.43,19.95,6.53,4.08,bummer,bummer,swimming,"Emma splashes into the pool, excited for her swim practice.As she surfaces, she notices her favorite goggles are missing from her bag.She searches everywhere, asking friends if they've seen them, but no luck.Feeling upset, Emma wonders, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_15_GPTimage.mp4
16,DallE3,54.2,3.99,18.93,3.41,8.54,bummer,bummer,after school club,"Liam, a 10-year-old boy, arrived at his after-school club excited to work on the group art project.He quickly realized that his friends had changed the theme of the project without telling him.Feeling left out and disappointed, Liam sat down, unsure of how to express his feelings.He wondered to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_16_DallE3.mp4
16,GPTimage,63.78,3.99,19.33,6.81,5.22,bummer,bummer,after school club,"Liam, a 10-year-old boy, arrived at his after-school club excited to work on the group art project.He quickly realized that his friends had changed the theme of the project without telling him.Feeling left out and disappointed, Liam sat down, unsure of how to express his feelings.He wondered to himself, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_16_GPTimage.mp4
17,DallE3,57.68,6.0,20.62,3.17,8.22,bummer,bummer,after school club,"Emma was looking forward to her pot painting session at the after-school club.She got there and realized she had forgotten her favorite paintbrush set at home.Her friend offered to share, but the colors weren’t what she wanted for her project.Emma wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_17_DallE3.mp4
17,GPTimage,66.54,6.0,19.67,6.53,4.59,bummer,bummer,after school club,"Emma was looking forward to her pot painting session at the after-school club.She got there and realized she had forgotten her favorite paintbrush set at home.Her friend offered to share, but the colors weren’t what she wanted for her project.Emma wondered to herself, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_17_GPTimage.mp4
18,DallE3,54.52,3.71,19.51,3.44,8.02,bummer,bummer,dancing,"Lucy was excited to perform her dance routine at the school talent show.As she waited backstage, she realized she had forgotten her dance shoes at home.Her heart sank as she looked at her sneakers, knowing they weren't right for the performance.Lucy wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_18_DallE3.mp4
18,GPTimage,63.07,3.71,19.84,6.76,4.33,bummer,bummer,dancing,"Lucy was excited to perform her dance routine at the school talent show.As she waited backstage, she realized she had forgotten her dance shoes at home.Her heart sank as she looked at her sneakers, knowing they weren't right for the performance.Lucy wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_18_GPTimage.mp4
19,DallE3,70.08,6.95,29.56,3.93,8.65,bummer,bummer,class,"Emily was excited for the class field trip, but she woke up feeling unwell that morning.She realized she might have to miss the trip she had been looking forward to all week.Even though her mom reassured her they could have a fun day at home, Emily felt sad to miss out with her friends.As Emily lay in bed, she wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_19_DallE3.mp4
19,GPTimage,79.45,6.95,20.98,7.86,4.55,bummer,bummer,class,"Emily was excited for the class field trip, but she woke up feeling unwell that morning.She realized she might have to miss the trip she had been looking forward to all week.Even though her mom reassured her they could have a fun day at home, Emily felt sad to miss out with her friends.As Emily lay in bed, she wondered, ""How big is this problem?""",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_19_GPTimage.mp4
20,DallE3,56.24,5.61,18.53,3.85,7.8,bummer,bummer,curling,"Jamie was excited for the curling championship at the local ice rink.But when Jamie arrived, they realized their favorite curling broom was missing.Jamie searched everywhere but couldn't find it, feeling the weight of disappointment.Sitting down on the bench, Jamie thought to themselves, 'How big is this problem?'",/Users/binbin/Documents/Binbin/PassionProject/video-generation-main 3/BothImageonSameText/BummerFolder/video_bummer_20_DallE3.mp4
